vehicleNo,ownerName,batteryCapacity,currentCharge,arrivalTime,priority
MH67Y196,Arjun,24,11,2024-01-03 18:15,2
MH22F197,Ananya,75,44,2024-12-01 11:00,3
MH87V198,Manthan,24,10,2025-07-06 20:00,2
MH52S199,Arjun,75,9,2025-06-19 11:00,3
MH18K200,Sam,48,29,2025-08-31 7:30,2
MH80T201,Aditi,40,34,2024-01-17 11:15,3
MH5K202,Ishaan,60,44,2024-08-23 23:45,3
MH77W203,Kavya,60,18,2025-10-25 10:30,3
MH44X204,Maya,60,35,2025-10-06 8:00,2
MH58U205,Aditi,60,29,2024-02-06 20:00,2
MH23H206,Aditi,48,28,2025-02-03 21:15,2
MH85F207,Aarav,60,28,2024-10-08 18:00,3
MH9X208,Rohit,48,39,2025-06-28 21:45,2
MH80S209,Neha,60,31,2024-06-06 10:30,2
MH26P210,Ishaan,75,68,2024-11-21 22:00,2
MH24V211,Ananya,40,3,2025-12-13 14:00,2
MH47Y212,Ayush,48,46,2025-09-26 16:45,2
MH4V213,Aditya,36,17,2025-07-08 11:30,3
MH35I214,Riya,60,25,2025-04-16 18:15,2
MH79J215,Riya,75,31,2025-10-11 10:30,3
MH29G216,Aditi,60,59,2024-04-15 16:45,2
MH11V217,Kushvendra,36,34,2024-12-11 21:15,3
MH44M218,Riya,60,10,2025-02-17 13:15,2
MH78Z219,Manthan,24,7,2025-05-31 9:45,2
MH4U220,Sneha,60,16,2025-01-30 23:30,1
MH42Y221,Sneha,75,36,2024-09-24 13:00,2
MH81T222,Aditya,75,65,2025-08-13 8:00,3
MH77P223,Riya,24,6,2025-06-18 16:15,2
MH5C224,Manthan,36,25,2024-11-10 8:30,2
MH14K225,Kushvendra,36,6,2024-08-09 11:30,2
MH28N226,Sneha,75,67,2024-04-09 13:45,2
MH41B227,Aarav,60,17,2024-06-02 9:30,3
MH12B228,Manthan,36,29,2025-01-27 22:00,2
MH68P229,Aditi,24,19,2024-05-14 21:00,2
MH17H230,Varun,60,35,2024-12-22 18:15,3
MH43R231,Neha,48,3,2024-11-28 22:45,3
MH58R232,Rohit,40,19,2024-06-20 10:45,2
MH66K233,Kavya,60,40,2024-12-13 19:30,3
MH41Z234,Maya,40,11,2025-05-29 10:30,3
MH16C235,Neha,40,1,2024-05-19 6:00,1
MH40L236,Ananya,60,41,2024-08-25 8:15,2
MH15Z237,Kushvendra,40,4,2024-08-01 6:30,2
MH5Q238,Saanvi,75,54,2025-07-22 11:00,2
MH37Q239,Varun,60,24,2025-01-30 21:15,2
MH89H240,Neha,48,40,2025-03-27 15:45,2
MH1E241,Manthan,60,47,2025-12-21 11:30,2
MH9Q242,Saanvi,36,34,2024-04-18 10:15,3
MH17G243,Maya,36,0,2025-10-03 15:00,2
MH95A244,Vivaan,60,15,2025-03-01 14:45,2
MH92R245,Rohit,40,1,2025-06-29 11:45,2
MH91C246,Rohit,36,11,2024-12-24 21:45,2
MH96L247,Aditi,75,34,2025-05-10 10:45,2
MH74B248,Kushvendra,36,5,2025-06-07 20:45,3
MH71H249,Aditya,48,3,2025-07-16 11:45,3
MH83P250,Riya,24,14,2025-12-04 12:15,2
MH92X251,Saanvi,60,41,2025-08-19 11:00,2
MH23E252,Sam,60,58,2025-09-21 12:45,3
MH13X253,Neha,40,37,2024-03-18 15:15,2
MH19H254,Riya,40,23,2025-12-20 13:15,2
MH40I255,Neha,24,15,2025-10-22 20:45,2
MH51J256,Ananya,24,18,2024-12-06 14:30,2
MH64T257,Aditya,36,28,2025-09-10 20:00,2
MH23O258,Vivaan,36,3,2024-12-05 13:45,3
MH64X259,Aditya,36,31,2025-12-25 16:15,2
MH72Q260,Ananya,36,9,2024-01-29 9:15,3
MH51X261,Ishaan,60,12,2024-06-26 7:00,2
MH71P262,Maya,75,59,2025-06-15 22:45,2
MH27W263,Manthan,75,65,2024-12-31 11:15,2
MH51B264,Ishaan,36,1,2024-10-11 15:15,3
MH83C265,Sam,60,20,2024-04-22 20:00,2
MH21G266,Sam,24,0,2024-06-01 11:30,2
MH12J267,Saanvi,48,17,2025-10-31 22:15,2
MH26A268,Sam,48,30,2024-03-25 12:45,2
MH15E269,Ayush,24,20,2024-06-03 10:00,2
MH16V270,Rohit,48,29,2025-11-07 10:00,2
MH99X271,Vivaan,24,3,2025-01-26 18:00,2
MH24B272,Aditya,60,46,2024-02-02 20:15,2
MH85X273,Varun,48,15,2024-07-21 12:00,2
MH25N274,Ayush,40,13,2025-07-03 6:15,2
MH86Z275,Pranav,60,6,2024-06-02 15:15,2
MH37A276,Aditi,75,50,2025-10-02 22:15,3
MH2S277,Kushvendra,36,9,2025-09-02 15:45,2
MH76G278,Manthan,40,24,2024-03-08 6:15,2
MH73T279,Manthan,36,31,2024-01-18 9:15,3
MH16E280,Kavya,36,27,2025-01-02 23:30,2
MH50J281,Arjun,36,1,2024-09-22 8:15,1
MH62B282,Neha,24,11,2025-09-20 11:45,2
MH64I283,Ishaan,36,3,2025-03-29 8:45,2
MH76A284,Neha,36,8,2024-05-09 15:00,2
MH34F285,Aarav,36,18,2024-02-03 13:00,2
MH79L286,Ayush,48,36,2025-10-17 20:30,2
MH40T287,Vivaan,40,28,2025-08-27 17:30,2
MH23H288,Kavya,48,6,2024-05-20 14:45,2
MH15B289,Aditi,24,3,2025-06-10 9:00,2
MH95Z290,Neha,60,14,2024-04-12 20:45,2
MH12P291,Riya,48,33,2024-02-13 23:00,2
MH94V292,Manthan,48,6,2024-05-31 6:00,3
MH91B293,Rohit,24,6,2025-06-04 7:45,2
MH32B294,Rohit,75,29,2024-12-06 8:00,3
MH37L295,Varun,40,31,2024-11-03 12:45,2
MH91G296,Aarav,24,18,2025-03-21 11:30,2
MH68V297,Manthan,48,27,2025-12-21 19:30,2
MH27D298,Aditi,24,10,2024-07-22 12:45,2
MH57I299,Neha,48,27,2024-06-01 8:30,2
MH68H300,Arjun,75,60,2024-01-20 7:00,3
MH52N301,Neha,24,9,2024-12-04 6:00,3
MH7O302,Sam,48,42,2025-04-23 9:30,1
MH96U303,Kavya,60,15,2025-07-10 23:00,3
MH73Y304,Kavya,60,0,2024-11-18 13:00,2
MH23B305,Kavya,60,38,2025-05-28 7:30,2
MH77P306,Ayush,60,33,2025-05-19 13:00,2
MH76O307,Aditya,48,24,2025-09-09 23:30,2
MH49D308,Arjun,36,31,2024-10-20 7:45,2
MH35H309,Ananya,36,20,2025-03-23 11:15,2
MH66V310,Sam,60,18,2025-08-19 9:45,3
MH9W311,Kavya,36,27,2025-11-07 10:00,2
MH7Q312,Rohit,60,54,2024-06-24 9:00,2
MH21V313,Aarav,75,33,2024-04-07 23:00,2
MH88W314,Maya,60,32,2025-09-01 22:45,3
MH15C315,Rohit,24,23,2025-07-04 22:30,3
MH66A316,Vivaan,60,59,2025-02-12 14:30,2
MH21Y317,Aditya,48,22,2025-06-18 22:15,2
MH57Q318,Manthan,48,0,2025-07-06 11:00,3
MH34R319,Ishaan,48,30,2024-11-23 21:00,3
MH24G320,Ayush,60,5,2024-11-02 18:00,3
MH86C321,Riya,60,57,2025-05-26 14:15,2
MH55R322,Varun,36,29,2025-02-05 21:00,2
MH76L323,Ananya,75,15,2024-09-21 8:45,2
MH55B324,Sneha,60,41,2024-09-11 11:45,2
MH89R325,Aditi,36,21,2025-01-21 17:00,3
MH59S326,Ayush,36,18,2025-10-17 7:45,2
MH37T327,Ayush,48,34,2024-09-11 14:45,1
MH58Q328,Pranav,36,4,2025-03-30 6:15,2
MH14M329,Arjun,36,22,2025-08-16 13:45,2
MH70E330,Aarav,60,36,2024-08-15 14:45,2
MH65H331,Maya,24,13,2024-05-20 14:45,2
MH97Q332,Rohit,60,36,2024-03-10 19:00,2
MH9C333,Pranav,24,6,2024-04-25 13:30,2
MH77U334,Riya,36,26,2024-04-20 13:15,2
MH53A335,Kushvendra,36,15,2024-02-14 14:30,2
MH13M336,Kushvendra,75,2,2024-06-18 17:30,3
MH64E337,Kavya,24,19,2024-04-09 19:30,2
MH25W338,Pranav,40,1,2025-08-03 19:45,3
MH61Y339,Sneha,75,8,2025-06-12 10:30,2
MH74Y340,Aditi,75,5,2025-07-13 23:00,3
MH60R341,Arjun,24,8,2024-03-22 20:30,2
MH14Z342,Ananya,40,39,2024-07-08 18:45,3
MH70N343,Maya,75,68,2025-09-24 13:45,2
MH71O344,Pranav,60,24,2025-08-03 15:00,2
MH76I345,Kushvendra,75,6,2024-04-23 9:15,2
MH87F346,Ishaan,75,61,2025-01-04 13:45,3
MH6L347,Aditya,24,15,2024-03-21 19:00,2
MH77R348,Aditi,48,13,2025-03-07 16:15,2
MH91U349,Arjun,24,16,2025-08-16 14:30,2
MH8M350,Sneha,24,1,2024-01-26 15:15,2
MH75I351,Riya,24,9,2025-01-20 18:30,3
MH95R352,Maya,48,27,2025-05-24 19:00,2
MH56I353,Riya,24,9,2024-11-18 19:30,2
MH57K354,Aditi,24,18,2025-04-06 15:30,3
MH25Z355,Varun,60,1,2025-03-11 10:15,3
MH48I356,Ayush,48,8,2025-10-10 11:45,2
MH38B357,Aditya,48,40,2024-12-08 17:15,3
MH2W358,Neha,36,11,2024-05-01 11:15,2
MH98Z359,Rohit,48,30,2025-12-11 21:30,2
MH98K360,Maya,24,12,2024-01-29 9:00,2
MH91D361,Vivaan,40,32,2024-09-14 23:45,3
MH1Y362,Aditi,24,3,2025-04-30 22:45,2
MH64R363,Arjun,36,5,2024-06-26 17:45,3
MH2Z364,Kavya,48,8,2025-02-22 14:15,2
MH55C365,Arjun,75,14,2024-06-17 7:15,2
MH30X366,Sneha,40,14,2025-03-16 17:45,3
MH69B367,Rohit,60,22,2025-10-12 11:30,3
MH66F368,Pranav,36,7,2025-11-18 23:15,2
MH33L369,Kavya,24,1,2025-11-23 19:30,2
MH48J370,Rohit,40,9,2024-07-20 8:00,2
MH25E371,Rohit,40,34,2025-09-21 21:00,2
MH51Y372,Saanvi,36,18,2025-10-22 11:45,2
MH25R373,Aditi,48,43,2024-06-22 8:45,2
MH2U374,Aditi,24,2,2025-09-13 18:15,3
MH33K375,Saanvi,24,12,2025-09-15 13:30,2
MH65E376,Kavya,60,57,2024-08-22 16:15,3
MH2B377,Aditya,60,4,2025-02-09 20:45,2
MH66C378,Neha,40,11,2024-10-12 14:30,3
MH47I379,Kavya,48,3,2025-06-28 12:30,2
MH61T380,Maya,36,28,2025-12-22 23:00,1
MH88U381,Kushvendra,36,7,2024-05-30 23:45,3
MH66V382,Kavya,60,47,2025-01-30 19:15,3
MH98W383,Maya,24,9,2024-11-18 21:15,3
MH14I384,Rohit,75,17,2024-09-16 18:15,1
MH12X385,Maya,60,47,2025-01-25 14:15,2
MH27R386,Ananya,60,28,2024-06-15 22:15,2
MH14E387,Aditya,75,70,2025-05-26 6:45,3
MH21S388,Saanvi,36,33,2025-06-11 7:15,2
MH16B389,Aditya,24,5,2024-08-23 11:00,1
MH89Q390,Ayush,48,27,2025-01-23 9:00,3
MH66U391,Maya,75,71,2025-11-23 21:45,2
MH71C392,Pranav,36,23,2025-01-27 8:30,2
MH93H393,Aditi,40,20,2025-10-27 13:00,2
MH97B394,Sneha,40,26,2025-07-17 10:15,2
MH53S395,Kushvendra,75,12,2024-02-05 6:15,2
MH3O396,Ayush,36,0,2025-01-13 14:30,3
MH76M397,Rohit,24,10,2024-01-21 7:45,2
MH86M398,Neha,40,5,2024-03-16 6:45,3
MH39C399,Vivaan,75,28,2024-10-15 6:45,2
MH13M400,Maya,60,17,2025-09-25 21:00,2
MH2L401,Aditi,36,27,2025-03-05 23:15,2
MH19M402,Aditi,75,72,2025-08-01 18:15,2
MH59Z403,Aarav,60,14,2025-07-06 19:00,2
MH88V404,Sneha,60,4,2025-01-07 6:30,3
MH55F405,Manthan,48,4,2025-08-06 20:45,1
MH77H406,Arjun,24,2,2024-05-15 19:30,2
MH81Q407,Sam,60,53,2024-07-10 18:00,2
MH11R408,Aarav,60,23,2024-05-22 8:45,2
MH66K409,Aditya,48,31,2025-04-12 15:00,2
MH18P410,Pranav,48,38,2024-07-08 8:00,2
MH83R411,Arjun,40,5,2025-09-15 18:15,2
MH23F412,Arjun,60,30,2024-12-08 22:00,2
MH91I413,Manthan,40,8,2024-04-17 23:30,2
MH48P414,Ishaan,40,27,2025-06-01 10:00,3
MH19E415,Manthan,48,0,2025-12-28 6:00,2
MH52H416,Kushvendra,48,17,2024-02-24 20:15,2
MH18I417,Sneha,36,32,2024-06-15 23:30,3
MH36A418,Ishaan,24,15,2025-06-16 22:15,2
MH34W419,Rohit,36,5,2024-05-19 19:00,2
MH70Z420,Manthan,24,15,2024-03-08 7:30,3
MH83W421,Ishaan,24,3,2025-08-11 17:00,2
MH60Z422,Aditya,75,11,2024-11-18 11:45,2
MH6X423,Manthan,36,28,2024-02-24 10:15,1
MH60C424,Neha,60,20,2025-11-27 6:00,3
MH33W425,Vivaan,60,36,2024-11-15 23:30,2
MH30Z426,Arjun,60,33,2025-04-24 19:15,3
MH53L427,Arjun,60,16,2024-10-12 21:00,2
MH94C428,Maya,75,65,2024-05-24 21:15,3
MH69C429,Saanvi,75,9,2024-02-06 14:30,1
MH46Y430,Aditi,75,51,2024-08-15 11:00,2
MH38G431,Manthan,48,16,2025-06-20 13:30,3
MH20N432,Varun,24,12,2024-10-06 23:45,1
MH55O433,Saanvi,60,35,2024-08-12 14:30,3
MH65G434,Aditi,40,11,2024-11-21 13:45,3
MH81J435,Ayush,36,34,2024-02-18 16:30,2
MH57I436,Ishaan,48,23,2025-04-04 16:30,2
MH51F437,Saanvi,60,11,2024-01-10 7:30,3
MH42D438,Ishaan,48,40,2025-12-17 15:00,2
MH77D439,Ananya,24,2,2024-04-12 20:45,2
MH88A440,Arjun,40,18,2025-12-22 20:45,2
MH90F441,Riya,75,3,2025-02-19 17:15,2
MH35W442,Vivaan,75,22,2024-01-01 8:15,2
MH41Z443,Sam,40,3,2024-01-11 11:45,3
MH90B444,Vivaan,40,7,2024-12-11 12:15,3
MH45Z445,Sam,40,28,2025-10-10 16:00,2
MH6P446,Aditya,48,45,2024-07-14 10:45,2
MH7L447,Sam,75,46,2025-10-21 6:15,2
MH9B448,Aarav,48,18,2025-11-24 12:30,3
MH2G449,Sam,24,0,2024-10-11 17:15,3
MH28N450,Ishaan,60,39,2025-12-16 15:00,2
MH39U451,Maya,24,7,2025-10-31 16:15,3
MH46L452,Ananya,40,36,2024-12-14 10:00,2
MH10B453,Ishaan,48,31,2025-08-06 6:00,2
MH55R454,Ishaan,24,17,2025-01-31 20:45,2
MH90H455,Sneha,60,17,2025-12-12 10:15,2
MH73J456,Pranav,60,44,2025-01-18 13:00,1
MH63O457,Ayush,36,21,2024-12-01 6:15,2
MH45A458,Vivaan,48,13,2025-01-23 16:30,2
MH51F459,Pranav,24,14,2025-07-04 14:15,2
MH81F460,Sam,75,19,2024-08-12 13:30,2
MH13C461,Aarav,75,4,2025-08-08 7:45,3
MH6L462,Ananya,24,20,2025-07-07 23:45,2
MH32A463,Arjun,24,2,2025-01-28 18:45,2
MH18T464,Aarav,40,21,2025-04-12 16:45,2
MH73F465,Vivaan,36,27,2024-11-15 11:45,1
MH31N466,Riya,24,22,2024-05-24 20:30,2
MH24C467,Kavya,48,29,2024-01-26 10:00,3
MH15C468,Manthan,36,14,2025-12-31 23:00,2
MH56W469,Riya,24,20,2025-09-14 11:00,2
MH68Z470,Aditya,60,36,2025-05-15 6:30,2
MH56D471,Aditya,60,27,2024-08-04 23:30,2
MH71C472,Sam,40,36,2025-04-19 21:15,2
MH13M473,Aditi,60,2,2025-12-26 7:30,3
MH62R474,Maya,36,4,2025-07-14 18:15,2
MH75P475,Riya,60,17,2024-12-05 15:00,2
MH66E476,Riya,75,61,2024-06-15 6:00,2
MH28T477,Pranav,60,8,2025-10-02 13:15,2
MH20B478,Kavya,24,8,2024-10-12 21:30,2
MH94E479,Varun,75,14,2024-03-08 19:30,2
MH91G480,Aarav,75,16,2025-10-04 6:15,1
MH27B481,Kavya,75,19,2024-08-12 10:15,2
MH64L482,Arjun,75,13,2024-09-06 17:15,1
MH98E483,Varun,24,13,2024-12-09 7:45,2
MH26A484,Ishaan,40,38,2024-08-24 20:45,2
MH51S485,Aditya,60,34,2024-08-17 10:00,2
MH84F486,Maya,24,13,2025-11-30 8:45,2
MH78B487,Riya,60,47,2025-06-27 12:00,3
MH4I488,Ananya,75,69,2024-10-09 8:45,2
MH20S489,Vivaan,36,7,2025-03-05 21:00,2
MH47M490,Aditi,40,26,2025-02-06 20:00,2
MH90M491,Arjun,24,18,2025-06-08 18:30,2
MH39S492,Pranav,40,19,2025-11-02 7:45,3
MH51G493,Pranav,60,49,2024-07-12 13:45,2
MH39U494,Maya,48,10,2025-04-09 12:15,3
MH50E495,Neha,24,2,2024-10-29 10:30,2
