studentID,name,skillLevel
S00120,Aarav,9
S00121,Aditya,9
S00122,Saanvi,7
S00123,Ananya,3
S00124,Sam,4
S00125,Maya,8
S00126,Aarav,3
S00127,Ayush,7
S00128,Ananya,9
S00129,Riya,1
S00130,Sneha,2
S00131,Manthan,5
S00132,Aditi,2
S00133,Aditi,6
S00134,Aditya,4
S00135,Ananya,2
S00136,Vivaan,8
S00137,Varun,7
S00138,Ishaan,6
S00139,Rohit,8
S00140,Ayush,8
S00141,Sneha,2
S00142,Sam,3
S00143,Aditi,9
S00144,Maya,3
S00145,Ishaan,4
S00146,Ishaan,3
S00147,Varun,8
S00148,Kushvendra,8
S00149,Kavya,1
S00150,Manthan,9
S00151,Maya,3
S00152,Ananya,1
S00153,Saanvi,7
S00154,Aarav,7
S00155,Rohit,8
S00156,Varun,8
S00157,Aditya,10
S00158,Riya,5
S00159,Maya,8
S00160,Riya,7
S00161,Kushvendra,6
S00162,Rohit,2
S00163,Saanvi,7
S00164,Pranav,10
S00165,Neha,8
S00166,Kavya,6
S00167,Aditya,5
S00168,Kushvendra,4
S00169,Rohit,6
S00170,Riya,6
S00171,Rohit,5
S00172,Pranav,9
S00173,Aditi,3
S00174,Kushvendra,3
S00175,Neha,10
S00176,Sam,1
S00177,Aditya,9
S00178,Manthan,2
S00179,Aditya,2
S00180,Kushvendra,7
S00181,Sneha,4
S00182,Ananya,9
S00183,Manthan,2
S00184,Kushvendra,8
S00185,Neha,5
S00186,Neha,8
S00187,Ishaan,6
S00188,Ishaan,7
S00189,Aditi,1
S00190,Maya,9
S00191,Saanvi,9
S00192,Saanvi,2
S00193,Sam,4
S00194,Kavya,7
S00195,Kushvendra,1
S00196,Riya,8
S00197,Kushvendra,9
S00198,Neha,1
S00199,Ananya,5
S00200,Manthan,7
S00201,Saanvi,4
S00202,Saanvi,9
S00203,Sam,3
S00204,Ananya,5
S00205,Maya,6
S00206,Arjun,5
S00207,Kushvendra,8
S00208,Ishaan,6
S00209,Vivaan,6
S00210,Kushvendra,8
S00211,Varun,3
S00212,Ayush,4
S00213,Aditi,9
S00214,Aarav,4
S00215,Riya,5
S00216,Arjun,8
S00217,Vivaan,7
S00218,Aditya,9
S00219,Ayush,3
S00220,Varun,7
S00221,Sam,8
S00222,Kavya,8
S00223,Neha,3
S00224,Saanvi,8
S00225,Aarav,4
S00226,Aditi,6
S00227,Kavya,8
S00228,Aditi,8
S00229,Riya,7
S00230,Varun,2
S00231,Sam,4
S00232,Aditya,10
S00233,Arjun,3
S00234,Sam,5
S00235,Vivaan,3
S00236,Ananya,3
S00237,Varun,1
S00238,Ayush,3
S00239,Manthan,4
S00240,Sam,5
S00241,Aditya,9
S00242,Manthan,5
S00243,Kushvendra,6
S00244,Kavya,2
S00245,Aditi,10
S00246,Riya,6
S00247,Aditi,9
S00248,Ananya,2
S00249,Kavya,1
S00250,Ishaan,4
S00251,Manthan,7
S00252,Ananya,1
S00253,Saanvi,3
S00254,Varun,3
S00255,Neha,8
S00256,Saanvi,6
S00257,Pranav,10
S00258,Aarav,5
S00259,Rohit,10
S00260,Aditi,7
S00261,Manthan,8
S00262,Aditya,7
S00263,Varun,10
S00264,Neha,3
S00265,Vivaan,4
S00266,Arjun,6
S00267,Ishaan,9
S00268,Neha,3
S00269,Aditi,7
S00270,Aditi,6
S00271,Ayush,5
S00272,Saanvi,5
S00273,Rohit,7
S00274,Ishaan,9
S00275,Aditi,3
S00276,Saanvi,1
S00277,Sam,3
S00278,Manthan,9
S00279,Rohit,3
S00280,Varun,10
S00281,Pranav,7
S00282,Rohit,4
S00283,Ayush,4
S00284,Vivaan,7
S00285,Saanvi,4
S00286,Aarav,9
S00287,Pranav,7
S00288,Ishaan,2
S00289,Sneha,3
S00290,Ayush,3
S00291,Varun,1
S00292,Ananya,4
S00293,Ayush,5
S00294,Maya,1
S00295,Varun,5
S00296,Sneha,5
S00297,Sam,2
S00298,Vivaan,7
S00299,Ananya,5
S00300,Ananya,1
S00301,Ananya,2
S00302,Ishaan,2
S00303,Ayush,7
S00304,Ananya,7
S00305,Neha,3
S00306,Arjun,9
S00307,Kavya,6
S00308,Kushvendra,5
S00309,Vivaan,5
S00310,Aarav,9
S00311,Kushvendra,8
S00312,Maya,7
S00313,Arjun,3
S00314,Sam,6
S00315,Vivaan,2
S00316,Aarav,9
S00317,Pranav,9
S00318,Neha,2
S00319,Ishaan,7
S00320,Neha,1
S00321,Ishaan,3
S00322,Ayush,1
S00323,Pranav,7
S00324,Sam,1
S00325,Aditya,8
S00326,Kavya,10
S00327,Kushvendra,4
S00328,Varun,10
S00329,Aditya,7
S00330,Arjun,5
S00331,Kavya,2
S00332,Aarav,7
S00333,Ayush,8
S00334,Aditi,9
S00335,Pranav,6
S00336,Sneha,4
S00337,Arjun,2
S00338,Neha,6
S00339,Ishaan,3
S00340,Kavya,3
S00341,Saanvi,9
S00342,Sam,4
S00343,Manthan,5
S00344,Kavya,1
S00345,Rohit,2
S00346,Vivaan,1
S00347,Rohit,3
S00348,Maya,9
S00349,Manthan,1
S00350,Riya,4
S00351,Aarav,6
S00352,Aarav,7
S00353,Neha,8
S00354,Aditya,5
S00355,Aditi,6
S00356,Ananya,4
S00357,Saanvi,2
S00358,Sneha,2
S00359,Kavya,8
S00360,Sam,6
S00361,Manthan,5
S00362,Vivaan,3
S00363,Sam,9
S00364,Riya,5
S00365,Sam,3
S00366,Riya,1
S00367,Riya,9
S00368,Aditi,2
S00369,Manthan,3
S00370,Ishaan,9
S00371,Sam,6
S00372,Arjun,2
S00373,Rohit,7
S00374,Aditi,1
S00375,Aditya,3
S00376,Neha,10
S00377,Neha,3
S00378,Kushvendra,1
S00379,Kushvendra,1
S00380,Sneha,4
S00381,Arjun,5
S00382,Maya,2
S00383,Ananya,10
S00384,Pranav,4
S00385,Ishaan,4
S00386,Riya,6
S00387,Ishaan,3
S00388,Sneha,5
S00389,Maya,7
S00390,Arjun,4
S00391,Aditi,4
S00392,Varun,5
S00393,Pranav,1
S00394,Ananya,8
S00395,Ayush,6
S00396,Kavya,4
S00397,Maya,10
S00398,Sam,5
S00399,Arjun,9
S00400,Manthan,9
S00401,Aarav,4
S00402,Ananya,1
S00403,Varun,7
S00404,Kavya,2
S00405,Pranav,9
S00406,Neha,4
S00407,Arjun,10
S00408,Ishaan,9
S00409,Kushvendra,1
S00410,Kushvendra,1
S00411,Kavya,9
S00412,Sneha,2
S00413,Kushvendra,10
S00414,Aarav,6
S00415,Aditya,9
S00416,Arjun,4
S00417,Rohit,8
S00418,Riya,2
S00419,Ishaan,10
S00420,Ishaan,8
S00421,Kavya,5
S00422,Kavya,8
S00423,Sam,4
S00424,Sam,2
S00425,Vivaan,8
S00426,Aditya,8
S00427,Kavya,1
S00428,Aarav,4
S00429,Kavya,6
S00430,Ayush,9
S00431,Varun,5
S00432,Varun,7
S00433,Kushvendra,8
S00434,Saanvi,8
S00435,Pranav,5
S00436,Maya,7
S00437,Ayush,7
S00438,Aarav,8
S00439,Arjun,4
S00440,Ayush,7
S00441,Ishaan,5
S00442,Sneha,5
S00443,Aditya,3
S00444,Aarav,9
S00445,Aditya,9
S00446,Aarav,4
S00447,Neha,9
S00448,Maya,4
S00449,Varun,3
S00450,Manthan,3
S00451,Aditi,10
S00452,Pranav,1
S00453,Pranav,4
S00454,Sam,4
S00455,Manthan,2
S00456,Ayush,1
S00457,Arjun,7
S00458,Maya,6
S00459,Sneha,8
S00460,Manthan,3
S00461,Neha,7
S00462,Aditi,5
S00463,Aditi,1
S00464,Saanvi,2
S00465,Neha,4
S00466,Ayush,8
S00467,Varun,2
S00468,Rohit,6
S00469,Arjun,5
S00470,Aditi,2
S00471,Ananya,6
S00472,Ananya,8
S00473,Ayush,5
S00474,Riya,10
S00475,Varun,4
S00476,Maya,4
S00477,Aarav,4
S00478,Maya,6
S00479,Ananya,10
S00480,Manthan,3
S00481,Ayush,1
S00482,Varun,9
S00483,Manthan,4
S00484,Riya,10
S00485,Aditi,8
S00486,Ananya,5
S00487,Aarav,2
S00488,Vivaan,5
S00489,Maya,10
S00490,Sneha,5
S00491,Rohit,6
S00492,Kavya,8
S00493,Saanvi,8
S00494,Rohit,1
S00495,Kavya,10
S00496,Maya,1
S00497,Sam,7
S00498,Rohit,9
S00499,Vivaan,10
S00500,Pranav,6
S00501,Ayush,6
S00502,Sam,8
S00503,Rohit,4
S00504,Maya,7
S00505,Aditya,1
S00506,Saanvi,5
S00507,Aarav,6
S00508,Sneha,4
S00509,Ayush,9
S00510,Sam,2
S00511,Ishaan,9
S00512,Aarav,5
S00513,Aditya,8
S00514,Kushvendra,7
S00515,Maya,5
S00516,Saanvi,1
S00517,Sneha,3
S00518,Aditya,9
S00519,Varun,8
S00520,Rohit,2
S00521,Neha,10
S00522,Sam,2
S00523,Ayush,6
S00524,Varun,8
S00525,Riya,4
S00526,Neha,4
S00527,Pranav,2
S00528,Aditya,1
S00529,Kavya,9
S00530,Kushvendra,8
S00531,Aditi,7
S00532,Rohit,2
S00533,Arjun,7
S00534,Kushvendra,8
S00535,Riya,9
S00536,Vivaan,9
S00537,Arjun,10
S00538,Aditya,3
S00539,Sneha,9
S00540,Maya,9
S00541,Varun,6
S00542,Riya,5
S00543,Sam,10
S00544,Vivaan,10
S00545,Ayush,1
S00546,Varun,5
S00547,Aditya,6
S00548,Aditi,6
S00549,Manthan,4
S00550,Rohit,4
S00551,Ishaan,5
S00552,Saanvi,8
S00553,Neha,4
S00554,Aditya,9
S00555,Kushvendra,6
S00556,Sam,7
S00557,Sneha,1
S00558,Sneha,2
S00559,Neha,10
S00560,Kavya,5
S00561,Aditi,2
S00562,Kavya,5
S00563,Aarav,1
S00564,Ishaan,5
S00565,Ishaan,8
S00566,Manthan,7
S00567,Ishaan,3
S00568,Ananya,2
S00569,Ishaan,7
S00570,Pranav,1
S00571,Rohit,10
S00572,Sneha,3
S00573,Sam,7
S00574,Varun,3
S00575,Riya,9
S00576,Varun,6
S00577,Pranav,3
S00578,Rohit,4
S00579,Kavya,5
S00580,Sam,8
S00581,Sam,10
S00582,Arjun,6
S00583,Aditya,10
S00584,Sneha,4
S00585,Neha,7
S00586,Kushvendra,5
S00587,Rohit,6
S00588,Varun,8
S00589,Aditi,4
S00590,Sneha,2
S00591,Ishaan,6
S00592,Saanvi,10
S00593,Arjun,6
S00594,Sam,1
S00595,Neha,8
S00596,Rohit,2
S00597,Aditi,6
S00598,Saanvi,7
S00599,Aarav,2
S00600,Sneha,5
S00601,Ananya,1
S00602,Kavya,1
S00603,Riya,6
S00604,Ayush,1
S00605,Ishaan,5
S00606,Aditya,4
S00607,Aditya,7
S00608,Ayush,8
S00609,Rohit,6
S00610,Arjun,8
S00611,Aarav,8
S00612,Aditya,3
S00613,Rohit,10
S00614,Rohit,2
S00615,Rohit,7
S00616,Saanvi,6
S00617,Aarav,7
S00618,Pranav,3
S00619,Rohit,3
S00620,Sam,10
S00621,Aarav,5
S00622,Saanvi,9
S00623,Aditi,2
S00624,Sneha,7
S00625,Rohit,7
S00626,Arjun,3
S00627,Rohit,1
S00628,Arjun,6
S00629,Pranav,4
S00630,Vivaan,7
S00631,Ananya,10
S00632,Vivaan,6
S00633,Varun,5
S00634,Neha,5
S00635,Sneha,3
S00636,Kushvendra,7
S00637,Ishaan,5
S00638,Ayush,8
S00639,Varun,3
S00640,Ishaan,4
S00641,Neha,10
S00642,Aarav,7
S00643,Aditya,6
S00644,Manthan,1
S00645,Riya,7
S00646,Vivaan,4
S00647,Kavya,1
S00648,Maya,8
S00649,Ananya,2
S00650,Arjun,3
S00651,Ishaan,7
S00652,Ayush,8
S00653,Neha,7
S00654,Kushvendra,5
S00655,Aarav,6
S00656,Ananya,3
S00657,Kavya,3
S00658,Aditya,7
S00659,Sam,5
S00660,Ananya,6
S00661,Ananya,3
S00662,Varun,7
S00663,Vivaan,8
S00664,Aditi,1
S00665,Manthan,9
S00666,Vivaan,4
S00667,Varun,1
S00668,Kushvendra,8
S00669,Ananya,3
S00670,Aditya,4
S00671,Ayush,8
S00672,Aditi,9
S00673,Ayush,5
S00674,Manthan,6
S00675,Manthan,3
S00676,Neha,2
S00677,Kushvendra,2
S00678,Aarav,8
S00679,Aarav,6
S00680,Manthan,8
S00681,Aarav,6
S00682,Riya,10
S00683,Manthan,1
S00684,Aditi,7
S00685,Aditi,8
S00686,Kavya,5
S00687,Vivaan,3
S00688,Saanvi,6
S00689,Sam,10
S00690,Aditi,10
S00691,Neha,3
S00692,Kushvendra,9
S00693,Ayush,10
S00694,Arjun,7
S00695,Ananya,6
S00696,Neha,1
S00697,Ishaan,7
S00698,Riya,6
S00699,Manthan,2
S00700,Manthan,2
S00701,Sneha,10
S00702,Rohit,6
S00703,Vivaan,10
S00704,Saanvi,8
S00705,Varun,5
S00706,Sam,6
S00707,Saanvi,2
S00708,Riya,8
S00709,Saanvi,5
S00710,Kavya,6
S00711,Varun,1
S00712,Vivaan,10
S00713,Sneha,7
S00714,Riya,2
S00715,Saanvi,5
S00716,Neha,2
S00717,Ayush,5
S00718,Ayush,2
S00719,Kushvendra,3
S00720,Neha,6
S00721,Ananya,3
S00722,Arjun,3
S00723,Kavya,8
S00724,Ishaan,9
S00725,Aditya,1
S00726,Aditya,5
S00727,Varun,2
S00728,Riya,10
S00729,Rohit,2
S00730,Maya,9
S00731,Aditi,5
S00732,Ishaan,9
S00733,Maya,5
S00734,Ananya,8
S00735,Pranav,9
S00736,Aditya,3
S00737,Ayush,9
S00738,Aditya,8
S00739,Maya,4
S00740,Aarav,1
S00741,Varun,1
S00742,Kushvendra,9
S00743,Aditi,10
S00744,Maya,1
S00745,Kushvendra,9
S00746,Ishaan,9
S00747,Aditya,5
S00748,Aarav,4
S00749,Saanvi,5
S00750,Aarav,6
S00751,Ishaan,9
S00752,Aditya,1
S00753,Kushvendra,7
S00754,Ananya,6
S00755,Varun,7
S00756,Sam,10
S00757,Ishaan,3
S00758,Aditya,4
S00759,Vivaan,2
S00760,Neha,7
S00761,Sam,5
S00762,Neha,1
S00763,Arjun,2
S00764,Riya,5
S00765,Neha,8
S00766,Neha,5
S00767,Arjun,9
S00768,Aditya,3
S00769,Manthan,10
S00770,Varun,4
S00771,Ayush,3
S00772,Ishaan,8
S00773,Kavya,10
S00774,Varun,9
S00775,Kavya,10
S00776,Kushvendra,10
S00777,Vivaan,3
S00778,Ayush,1
S00779,Sam,3
S00780,Aarav,4
S00781,Ananya,2
S00782,Kavya,7
S00783,Manthan,7
S00784,Manthan,8
S00785,Aditya,7
S00786,Ayush,6
S00787,Sneha,9
S00788,Aditya,4
S00789,Aarav,5
S00790,Sam,10
S00791,Manthan,1
S00792,Pranav,4
S00793,Varun,10
S00794,Ayush,5
S00795,Aditya,7
S00796,Kavya,6
S00797,Ishaan,9
S00798,Ayush,3
S00799,Sam,6
S00800,Saanvi,3
S00801,Arjun,4
S00802,Aarav,8
S00803,Arjun,5
S00804,Aditi,8
S00805,Ayush,5
S00806,Aditya,3
S00807,Neha,2
S00808,Saanvi,10
S00809,Manthan,6
S00810,Sneha,5
S00811,Kushvendra,9
S00812,Ayush,2
S00813,Varun,1
S00814,Kushvendra,9
S00815,Saanvi,10
S00816,Ananya,5
S00817,Ishaan,9
S00818,Ananya,6
S00819,Kavya,5
S00820,Arjun,8
S00821,Varun,9
S00822,Manthan,10
S00823,Aditi,9
S00824,Aditya,10
S00825,Riya,1
S00826,Neha,10
S00827,Ayush,6
S00828,Ayush,10
S00829,Saanvi,3
S00830,Manthan,10
S00831,Neha,3
S00832,Rohit,7
S00833,Riya,3
S00834,Ananya,7
S00835,Aditi,4
S00836,Vivaan,3
S00837,Sneha,6
S00838,Ananya,5
S00839,Aditya,9
S00840,Saanvi,10
S00841,Maya,6
S00842,Kushvendra,8
S00843,Aditi,1
S00844,Riya,3
S00845,Varun,1
S00846,Vivaan,8
S00847,Sneha,2
S00848,Aarav,7
S00849,Arjun,10
S00850,Pranav,6
S00851,Aarav,3
S00852,Ayush,10
S00853,Pranav,5
S00854,Rohit,4
S00855,Manthan,4
S00856,Kavya,2
S00857,Pranav,4
S00858,Maya,2
S00859,Aarav,4
S00860,Riya,4
S00861,Aditya,9
S00862,Neha,7
S00863,Rohit,10
S00864,Ishaan,7
S00865,Neha,8
S00866,Kavya,8
S00867,Sneha,3
S00868,Ishaan,2
S00869,Vivaan,1
S00870,Pranav,1
S00871,Aditi,4
S00872,Varun,5
S00873,Ananya,8
S00874,Aditi,3
S00875,Ayush,1
S00876,Vivaan,9
S00877,Rohit,8
S00878,Sneha,10
S00879,Manthan,4
S00880,Saanvi,5
S00881,Arjun,3
S00882,Kushvendra,4
S00883,Sam,4
S00884,Maya,3
S00885,Arjun,5
S00886,Arjun,6
S00887,Sneha,8
S00888,Rohit,3
S00889,Rohit,8
S00890,Kavya,6
S00891,Rohit,6
S00892,Ishaan,3
S00893,Aditya,9
S00894,Varun,6
S00895,Riya,2
S00896,Aditya,5
S00897,Varun,5
S00898,Neha,1
S00899,Ananya,7
S00900,Saanvi,9
S00901,Ananya,10
S00902,Ayush,9
S00903,Sneha,9
S00904,Varun,5
S00905,Riya,1
S00906,Pranav,8
S00907,Kushvendra,10
S00908,Aditi,4
S00909,Manthan,9
S00910,Maya,5
S00911,Rohit,8
S00912,Ishaan,7
S00913,Sam,4
S00914,Sam,3
S00915,Varun,6
S00916,Ananya,3
S00917,Ishaan,3
S00918,Kushvendra,5
S00919,Neha,2
S00920,Neha,8
S00921,Sam,5
S00922,Neha,8
S00923,Rohit,9
S00924,Vivaan,9
S00925,Sam,9
S00926,Neha,4
S00927,Neha,2
S00928,Ananya,10
S00929,Kushvendra,10
S00930,Pranav,6
S00931,Sam,3
S00932,Vivaan,2
S00933,Aditi,6
S00934,Rohit,3
S00935,Ananya,6
S00936,Ishaan,2
S00937,Maya,5
S00938,Rohit,4
S00939,Sneha,8
S00940,Sam,7
S00941,Arjun,7
S00942,Saanvi,9
S00943,Sam,7
S00944,Manthan,5
S00945,Sam,10
S00946,Sneha,8
S00947,Sam,2
S00948,Sneha,9
S00949,Arjun,3
S00950,Aarav,1
S00951,Aditi,2
S00952,Aarav,1
S00953,Aditya,5
S00954,Riya,9
S00955,Neha,7
S00956,Maya,1
S00957,Ayush,3
S00958,Kushvendra,2
S00959,Kushvendra,8
S00960,Kushvendra,10
S00961,Kushvendra,2
S00962,Kavya,10
S00963,Ishaan,10
S00964,Ayush,8
S00965,Aditya,1
S00966,Varun,1
S00967,Aarav,5
S00968,Manthan,9
S00969,Sneha,3
S00970,Kavya,3
S00971,Riya,8
S00972,Pranav,10
S00973,Ayush,7
S00974,Manthan,3
S00975,Maya,5
S00976,Varun,4
S00977,Ishaan,6
S00978,Aditya,8
S00979,Aditya,10
S00980,Rohit,3
S00981,Kushvendra,2
S00982,Riya,4
S00983,Kavya,4
S00984,Ananya,6
S00985,Ananya,7
S00986,Rohit,6
S00987,Rohit,8
S00988,Sneha,8
S00989,Saanvi,5
S00990,Arjun,7
S00991,Kushvendra,9
S00992,Sneha,6
S00993,Ishaan,4
S00994,Vivaan,1
S00995,Pranav,10
S00996,Rohit,10
S00997,Vivaan,5
S00998,Aarav,8
S00999,Sneha,2
S01000,Riya,9
