jobID,customerName,deviceType,issue,submissionDate
J00042,Saanvi,Smartwatch,Software,2024-10-08
J00043,Ayush,Laptop,Screen,2023-04-17
J00044,Sneha,Smartwatch,Motherboard,2024-02-07
J00045,Riya,Laptop,Motherboard,2024-12-17
J00046,Ishaan,Mobile,Motherboard,2023-06-26
J00047,Sam,Mobile,Screen,2023-10-28
J00048,Kushvendra,Desktop,Software,2023-05-26
J00049,Sam,Mobile,Charging_Port,2025-09-18
J00050,Saanvi,Mobile,Motherboard,2023-03-24
J00051,Saanvi,Tablet,Software,2024-01-12
J00052,Pranav,Tablet,Keyboard,2025-07-07
J00053,Pranav,Desktop,Charging_Port,2023-01-01
J00054,Kavya,Smartwatch,Motherboard,2023-02-22
J00055,Rohit,Desktop,Motherboard,2023-09-21
J00056,Ananya,Tablet,Screen,2023-01-11
J00057,Sneha,Smartwatch,Keyboard,2023-06-06
J00058,Maya,Laptop,Camera,2025-08-23
J00059,Ishaan,Desktop,Camera,2025-01-01
J00060,Vivaan,Smartwatch,Software,2024-05-04
J00061,Riya,Desktop,Charging_Port,2024-12-11
J00062,Vivaan,Tablet,Keyboard,2025-02-24
J00063,Saanvi,Tablet,Screen,2023-05-31
J00064,Aditi,Tablet,Charging_Port,2023-01-03
J00065,Manthan,Tablet,Charging_Port,2023-06-11
J00066,Aditya,Tablet,Camera,2025-07-14
J00067,Kavya,Tablet,Software,2025-03-14
J00068,Manthan,Mobile,Charging_Port,2023-08-28
J00069,Ayush,Laptop,Software,2025-10-04
J00070,Sneha,Laptop,Screen,2024-08-06
J00071,Aarav,Desktop,Battery,2023-01-26
J00072,Pranav,Tablet,Keyboard,2023-08-29
J00073,Aditi,Tablet,Screen,2024-05-24
J00074,Maya,Desktop,Battery,2023-12-31
J00075,Vivaan,Desktop,Screen,2024-03-04
J00076,Sam,Smartwatch,Motherboard,2023-11-25
J00077,Ishaan,Mobile,Charging_Port,2025-01-31
J00078,Aditi,Desktop,Motherboard,2024-07-24
J00079,Aarav,Smartwatch,Charging_Port,2023-01-26
J00080,Arjun,Smartwatch,Keyboard,2023-11-19
J00081,Maya,Tablet,Screen,2025-02-21
J00082,Pranav,Smartwatch,Software,2024-02-28
J00083,Saanvi,Mobile,Keyboard,2025-05-05
J00084,Arjun,Mobile,Screen,2024-01-24
J00085,Maya,Smartwatch,Keyboard,2024-06-23
J00086,Aarav,Desktop,Charging_Port,2023-04-20
J00087,Neha,Smartwatch,Screen,2025-11-01
J00088,Maya,Desktop,Motherboard,2023-03-29
J00089,Maya,Mobile,Screen,2023-08-29
J00090,Maya,Desktop,Screen,2024-07-31
J00091,Ananya,Laptop,Screen,2024-02-13
J00092,Arjun,Smartwatch,Motherboard,2023-07-25
J00093,Aditya,Tablet,Charging_Port,2024-07-18
J00094,Aditi,Tablet,Charging_Port,2023-04-07
J00095,Kushvendra,Mobile,Camera,2025-03-28
J00096,Ananya,Mobile,Software,2023-09-02
J00097,Aditya,Desktop,Software,2025-04-05
J00098,Ishaan,Tablet,Motherboard,2023-11-22
J00099,Arjun,Laptop,Keyboard,2024-04-07
J00100,Maya,Smartwatch,Software,2023-01-15
J00101,Sneha,Smartwatch,Keyboard,2025-01-14
J00102,Kavya,Tablet,Motherboard,2023-04-27
J00103,Aditi,Mobile,Software,2024-02-07
J00104,Vivaan,Smartwatch,Camera,2023-05-11
J00105,Pranav,Smartwatch,Software,2023-05-31
J00106,Maya,Desktop,Keyboard,2024-05-14
J00107,Sam,Tablet,Motherboard,2025-09-22
J00108,Ayush,Smartwatch,Battery,2025-04-14
J00109,Riya,Mobile,Keyboard,2025-02-08
J00110,Aarav,Tablet,Battery,2023-01-28
J00111,Arjun,Smartwatch,Screen,2025-12-30
J00112,Pranav,Laptop,Battery,2025-02-04
J00113,Sneha,Desktop,Motherboard,2023-01-13
J00114,Saanvi,Smartwatch,Charging_Port,2025-04-01
J00115,Ishaan,Tablet,Camera,2023-04-17
J00116,Ayush,Mobile,Screen,2025-03-22
J00117,Ayush,Mobile,Motherboard,2023-01-18
J00118,Manthan,Laptop,Battery,2025-12-23
J00119,Vivaan,Smartwatch,Keyboard,2023-01-17
J00120,Maya,Desktop,Charging_Port,2023-09-05
J00121,Aarav,Mobile,Charging_Port,2023-03-31
J00122,Sam,Laptop,Battery,2023-05-01
J00123,Ananya,Laptop,Battery,2025-01-17
J00124,Arjun,Laptop,Charging_Port,2024-06-21
J00125,Kushvendra,Mobile,Software,2024-02-14
J00126,Rohit,Tablet,Charging_Port,2025-08-15
J00127,Maya,Tablet,Battery,2023-08-18
J00128,Sam,Mobile,Motherboard,2023-03-27
J00129,Ishaan,Desktop,Software,2025-12-28
J00130,Neha,Laptop,Battery,2025-08-07
J00131,Manthan,Smartwatch,Keyboard,2024-10-20
J00132,Kavya,Tablet,Software,2023-10-08
J00133,Ishaan,Tablet,Keyboard,2024-07-30
J00134,Pranav,Tablet,Battery,2025-11-18
J00135,Vivaan,Laptop,Charging_Port,2023-02-03
J00136,Aditi,Laptop,Software,2025-03-08
J00137,Manthan,Tablet,Charging_Port,2024-03-08
J00138,Pranav,Tablet,Camera,2024-11-07
J00139,Ayush,Smartwatch,Battery,2023-12-10
J00140,Maya,Tablet,Battery,2023-09-10
J00141,Sneha,Desktop,Motherboard,2023-04-18
J00142,Kushvendra,Smartwatch,Motherboard,2023-01-25
J00143,Ananya,Smartwatch,Screen,2025-05-10
J00144,Arjun,Tablet,Charging_Port,2025-05-16
J00145,Aarav,Smartwatch,Screen,2024-08-29
J00146,Rohit,Mobile,Camera,2025-05-13
J00147,Ayush,Laptop,Battery,2024-02-07
J00148,Manthan,Laptop,Keyboard,2025-10-29
J00149,Manthan,Laptop,Screen,2025-02-05
J00150,Saanvi,Laptop,Screen,2025-06-22
J00151,Ananya,Laptop,Motherboard,2025-10-14
J00152,Aditya,Tablet,Motherboard,2023-04-21
J00153,Manthan,Desktop,Motherboard,2023-05-07
J00154,Manthan,Mobile,Battery,2024-06-07
J00155,Pranav,Laptop,Battery,2024-05-17
J00156,Sam,Tablet,Keyboard,2025-06-24
J00157,Sam,Tablet,Screen,2025-02-07
J00158,Kavya,Tablet,Battery,2023-07-18
J00159,Kushvendra,Smartwatch,Charging_Port,2023-04-22
J00160,Kushvendra,Smartwatch,Screen,2023-06-13
J00161,Varun,Desktop,Charging_Port,2025-03-25
J00162,Neha,Tablet,Camera,2025-04-08
J00163,Sam,Mobile,Motherboard,2024-11-07
J00164,Ayush,Laptop,Charging_Port,2024-04-26
J00165,Saanvi,Tablet,Software,2025-10-10
J00166,Kavya,Desktop,Motherboard,2025-03-21
J00167,Aditi,Laptop,Keyboard,2025-08-17
J00168,Ishaan,Mobile,Battery,2025-09-06
J00169,Sneha,Laptop,Charging_Port,2024-06-27
J00170,Ananya,Laptop,Camera,2023-07-25
J00171,Sam,Mobile,Battery,2023-02-22
J00172,Maya,Tablet,Motherboard,2025-09-28
J00173,Ananya,Mobile,Battery,2023-10-22
J00174,Maya,Smartwatch,Battery,2023-09-30
J00175,Saanvi,Desktop,Camera,2025-04-09
J00176,Pranav,Tablet,Screen,2024-01-17
J00177,Aditi,Mobile,Keyboard,2024-05-06
J00178,Riya,Smartwatch,Camera,2025-07-31
J00179,Ayush,Desktop,Camera,2024-01-18
J00180,Kavya,Mobile,Motherboard,2025-08-27
J00181,Ananya,Desktop,Software,2023-11-23
J00182,Ananya,Desktop,Camera,2024-11-23
J00183,Arjun,Laptop,Battery,2024-05-03
J00184,Riya,Laptop,Charging_Port,2023-07-12
J00185,Kavya,Laptop,Screen,2025-05-16
J00186,Maya,Mobile,Battery,2023-12-25
J00187,Varun,Tablet,Keyboard,2023-10-11
J00188,Saanvi,Tablet,Motherboard,2023-05-25
J00189,Maya,Desktop,Charging_Port,2023-11-02
J00190,Maya,Laptop,Camera,2025-09-16
J00191,Kushvendra,Tablet,Camera,2023-06-22
J00192,Kushvendra,Tablet,Software,2024-12-01
J00193,Arjun,Smartwatch,Screen,2025-06-25
J00194,Kushvendra,Smartwatch,Charging_Port,2023-05-23
J00195,Saanvi,Desktop,Battery,2023-09-12
J00196,Aarav,Laptop,Software,2025-03-16
J00197,Pranav,Mobile,Battery,2023-11-13
J00198,Riya,Smartwatch,Software,2023-11-05
J00199,Arjun,Smartwatch,Motherboard,2025-08-15
J00200,Rohit,Mobile,Battery,2023-06-04
J00201,Neha,Desktop,Software,2023-03-11
J00202,Ayush,Smartwatch,Keyboard,2025-09-06
J00203,Aarav,Smartwatch,Screen,2024-02-29
J00204,Aditi,Tablet,Screen,2024-05-02
J00205,Ayush,Laptop,Keyboard,2024-10-03
J00206,Riya,Desktop,Charging_Port,2024-09-15
J00207,Arjun,Tablet,Screen,2023-03-18
J00208,Sneha,Tablet,Software,2023-04-20
J00209,Arjun,Smartwatch,Keyboard,2023-02-07
J00210,Neha,Smartwatch,Camera,2025-01-21
J00211,Varun,Mobile,Motherboard,2025-07-17
J00212,Neha,Mobile,Keyboard,2023-01-05
J00213,Neha,Mobile,Screen,2023-03-23
J00214,Ananya,Smartwatch,Battery,2025-11-07
J00215,Manthan,Smartwatch,Camera,2024-06-21
J00216,Neha,Laptop,Keyboard,2025-07-06
J00217,Kavya,Tablet,Charging_Port,2025-09-21
J00218,Sam,Mobile,Screen,2025-12-06
J00219,Saanvi,Desktop,Software,2025-09-19
J00220,Sam,Desktop,Software,2024-07-22
J00221,Maya,Laptop,Keyboard,2025-11-02
J00222,Neha,Laptop,Charging_Port,2024-10-07
J00223,Kushvendra,Laptop,Camera,2024-07-31
J00224,Maya,Mobile,Battery,2025-05-03
J00225,Neha,Tablet,Battery,2023-09-19
J00226,Arjun,Mobile,Charging_Port,2024-06-10
J00227,Ayush,Laptop,Battery,2023-07-26
J00228,Riya,Desktop,Charging_Port,2025-12-28
J00229,Vivaan,Laptop,Keyboard,2024-08-13
J00230,Aditi,Tablet,Battery,2024-05-30
J00231,Aarav,Laptop,Software,2023-05-30
J00232,Riya,Smartwatch,Motherboard,2023-12-01
J00233,Arjun,Mobile,Camera,2025-12-23
J00234,Pranav,Smartwatch,Keyboard,2023-12-20
J00235,Riya,Tablet,Motherboard,2025-08-02
J00236,Varun,Smartwatch,Screen,2025-11-17
J00237,Varun,Desktop,Battery,2023-09-21
J00238,Saanvi,Smartwatch,Charging_Port,2025-09-16
J00239,Ishaan,Tablet,Software,2024-08-17
J00240,Vivaan,Smartwatch,Charging_Port,2023-04-12
J00241,Ayush,Laptop,Software,2024-02-14
J00242,Kavya,Desktop,Software,2025-01-27
J00243,Ayush,Tablet,Motherboard,2024-07-09
J00244,Ayush,Laptop,Camera,2024-10-26
J00245,Varun,Smartwatch,Software,2025-06-27
J00246,Maya,Tablet,Charging_Port,2025-03-03
J00247,Saanvi,Desktop,Battery,2023-01-08
J00248,Maya,Smartwatch,Battery,2024-02-17
J00249,Ayush,Laptop,Screen,2023-05-02
J00250,Sam,Mobile,Motherboard,2023-06-21
J00251,Ayush,Smartwatch,Battery,2023-01-16
J00252,Aditya,Smartwatch,Keyboard,2024-12-30
J00253,Kushvendra,Smartwatch,Software,2025-11-03
J00254,Neha,Tablet,Keyboard,2025-10-19
J00255,Varun,Smartwatch,Keyboard,2024-11-02
J00256,Manthan,Smartwatch,Keyboard,2023-07-24
J00257,Riya,Tablet,Motherboard,2025-06-01
J00258,Kavya,Laptop,Screen,2023-04-18
J00259,Ayush,Desktop,Motherboard,2024-11-22
J00260,Varun,Smartwatch,Camera,2025-12-23
J00261,Arjun,Tablet,Software,2023-04-28
J00262,Manthan,Laptop,Motherboard,2025-02-22
J00263,Manthan,Tablet,Keyboard,2023-08-07
J00264,Arjun,Mobile,Keyboard,2024-09-11
J00265,Kavya,Laptop,Camera,2025-11-15
J00266,Sam,Desktop,Motherboard,2024-08-29
J00267,Aarav,Mobile,Camera,2024-02-18
J00268,Saanvi,Desktop,Motherboard,2025-12-30
J00269,Neha,Laptop,Charging_Port,2024-04-22
J00270,Kushvendra,Smartwatch,Camera,2023-03-27
J00271,Vivaan,Smartwatch,Screen,2024-05-17
J00272,Neha,Mobile,Screen,2024-09-02
J00273,Kavya,Mobile,Battery,2025-11-15
J00274,Neha,Laptop,Battery,2023-04-03
J00275,Kushvendra,Laptop,Charging_Port,2025-12-31
J00276,Ananya,Laptop,Charging_Port,2024-07-23
J00277,Vivaan,Mobile,Keyboard,2023-01-25
J00278,Sam,Smartwatch,Software,2023-05-16
J00279,Maya,Smartwatch,Charging_Port,2025-09-19
J00280,Sam,Smartwatch,Battery,2024-07-12
J00281,Kushvendra,Mobile,Charging_Port,2024-07-04
J00282,Aditya,Mobile,Keyboard,2025-03-08
J00283,Maya,Tablet,Charging_Port,2023-01-27
J00284,Pranav,Tablet,Screen,2025-08-08
J00285,Saanvi,Tablet,Camera,2025-02-12
J00286,Sneha,Tablet,Charging_Port,2023-01-30
J00287,Sam,Tablet,Motherboard,2024-04-01
J00288,Sam,Tablet,Software,2023-02-08
J00289,Kushvendra,Desktop,Camera,2023-04-03
J00290,Arjun,Smartwatch,Screen,2023-12-12
J00291,Maya,Tablet,Keyboard,2023-10-29
J00292,Ishaan,Mobile,Screen,2024-12-25
J00293,Varun,Desktop,Camera,2023-10-14
J00294,Kushvendra,Desktop,Keyboard,2023-02-05
J00295,Rohit,Mobile,Camera,2024-10-01
J00296,Arjun,Laptop,Battery,2023-07-17
J00297,Sam,Smartwatch,Software,2025-07-30
J00298,Sneha,Tablet,Charging_Port,2025-06-13
J00299,Rohit,Tablet,Charging_Port,2025-01-18
J00300,Aditya,Tablet,Screen,2025-11-17
J00301,Neha,Tablet,Software,2025-12-06
J00302,Riya,Mobile,Screen,2025-10-22
J00303,Varun,Mobile,Camera,2024-10-17
J00304,Varun,Smartwatch,Software,2025-11-19
J00305,Kavya,Laptop,Charging_Port,2025-05-10
J00306,Riya,Mobile,Software,2024-03-26
J00307,Riya,Smartwatch,Screen,2025-01-08
J00308,Aditi,Smartwatch,Software,2024-07-27
J00309,Riya,Smartwatch,Motherboard,2025-09-11
J00310,Pranav,Desktop,Battery,2023-07-22
J00311,Rohit,Mobile,Software,2023-01-06
J00312,Ayush,Smartwatch,Battery,2024-03-13
J00313,Vivaan,Tablet,Screen,2025-12-20
J00314,Vivaan,Smartwatch,Charging_Port,2025-10-22
J00315,Arjun,Tablet,Camera,2023-10-28
J00316,Ayush,Tablet,Camera,2024-11-27
J00317,Sam,Tablet,Motherboard,2023-02-17
J00318,Neha,Mobile,Battery,2023-10-01
J00319,Rohit,Mobile,Battery,2025-08-28
J00320,Aditya,Smartwatch,Charging_Port,2025-10-26
J00321,Sam,Laptop,Battery,2023-12-17
J00322,Ananya,Smartwatch,Software,2023-04-26
J00323,Ishaan,Smartwatch,Keyboard,2024-07-12
J00324,Aditi,Smartwatch,Screen,2024-07-28
J00325,Rohit,Smartwatch,Charging_Port,2024-10-23
J00326,Kavya,Laptop,Software,2025-06-30
J00327,Neha,Smartwatch,Keyboard,2024-10-04
J00328,Saanvi,Desktop,Charging_Port,2023-06-08
J00329,Aditi,Desktop,Charging_Port,2023-03-23
J00330,Rohit,Mobile,Motherboard,2025-11-19
J00331,Vivaan,Tablet,Charging_Port,2023-05-13
J00332,Kushvendra,Smartwatch,Charging_Port,2023-04-29
J00333,Aditi,Desktop,Keyboard,2025-01-26
J00334,Varun,Desktop,Camera,2025-03-10
J00335,Riya,Smartwatch,Camera,2024-03-06
J00336,Varun,Tablet,Charging_Port,2025-11-14
J00337,Rohit,Smartwatch,Battery,2025-12-11
J00338,Aarav,Mobile,Screen,2025-09-07
J00339,Ayush,Laptop,Battery,2024-05-02
J00340,Sam,Smartwatch,Software,2023-08-11
J00341,Riya,Laptop,Software,2023-02-27
J00342,Kushvendra,Laptop,Charging_Port,2023-07-24
J00343,Arjun,Desktop,Software,2025-12-07
J00344,Ayush,Laptop,Charging_Port,2023-10-02
J00345,Aarav,Smartwatch,Screen,2025-04-02
J00346,Ayush,Desktop,Screen,2023-08-31
J00347,Ishaan,Smartwatch,Charging_Port,2023-09-28
J00348,Ananya,Smartwatch,Camera,2023-10-28
J00349,Sam,Desktop,Battery,2025-03-04
J00350,Aditi,Desktop,Battery,2024-04-03
J00351,Kavya,Desktop,Software,2025-06-13
J00352,Pranav,Desktop,Motherboard,2023-04-05
J00353,Ananya,Tablet,Screen,2025-05-11
J00354,Sneha,Tablet,Motherboard,2025-11-12
J00355,Maya,Smartwatch,Camera,2025-11-28
J00356,Ananya,Mobile,Keyboard,2024-12-26
J00357,Rohit,Laptop,Camera,2025-09-24
J00358,Rohit,Mobile,Software,2023-07-27
J00359,Riya,Mobile,Screen,2024-10-23
J00360,Kushvendra,Tablet,Software,2023-03-29
J00361,Kushvendra,Smartwatch,Software,2023-03-09
J00362,Manthan,Mobile,Software,2023-07-11
J00363,Varun,Smartwatch,Charging_Port,2024-03-31
J00364,Varun,Tablet,Software,2024-07-27
J00365,Kavya,Laptop,Keyboard,2025-01-22
J00366,Varun,Desktop,Battery,2023-08-03
J00367,Vivaan,Tablet,Screen,2024-09-23
J00368,Sneha,Laptop,Software,2023-07-29
J00369,Arjun,Mobile,Software,2024-10-22
J00370,Ishaan,Mobile,Motherboard,2025-06-28
J00371,Aditya,Tablet,Software,2025-03-16
J00372,Aditi,Desktop,Screen,2023-03-18
J00373,Sam,Smartwatch,Camera,2025-07-11
J00374,Maya,Smartwatch,Charging_Port,2023-04-20
J00375,Arjun,Mobile,Software,2024-09-11
J00376,Kavya,Tablet,Motherboard,2025-11-15
J00377,Pranav,Tablet,Motherboard,2025-08-26
J00378,Sam,Tablet,Screen,2024-04-19
J00379,Neha,Smartwatch,Keyboard,2023-02-14
J00380,Vivaan,Smartwatch,Battery,2023-10-03
J00381,Maya,Tablet,Motherboard,2024-03-23
J00382,Sneha,Desktop,Software,2024-03-02
J00383,Aditya,Tablet,Charging_Port,2025-10-17
J00384,Manthan,Smartwatch,Software,2023-11-25
J00385,Maya,Mobile,Software,2025-06-18
J00386,Ananya,Laptop,Charging_Port,2025-03-16
J00387,Aditi,Mobile,Software,2023-03-19
J00388,Arjun,Desktop,Camera,2023-07-01
J00389,Kushvendra,Desktop,Keyboard,2024-09-15
J00390,Riya,Mobile,Battery,2023-12-25
J00391,Pranav,Laptop,Motherboard,2025-02-02
J00392,Vivaan,Desktop,Keyboard,2024-06-04
J00393,Aditi,Mobile,Charging_Port,2025-06-05
J00394,Ayush,Laptop,Motherboard,2024-02-29
J00395,Pranav,Tablet,Camera,2025-02-26
J00396,Sneha,Tablet,Motherboard,2023-12-28
J00397,Aditya,Tablet,Software,2024-12-31
J00398,Aditi,Tablet,Software,2023-06-18
J00399,Sneha,Tablet,Software,2023-08-24
J00400,Neha,Laptop,Motherboard,2023-01-07
J00401,Kushvendra,Laptop,Battery,2023-12-06
J00402,Vivaan,Desktop,Software,2023-07-12
J00403,Ayush,Desktop,Charging_Port,2023-05-28
J00404,Pranav,Laptop,Battery,2024-09-06
J00405,Kavya,Smartwatch,Motherboard,2023-04-30
J00406,Sam,Tablet,Camera,2024-02-21
J00407,Sneha,Smartwatch,Keyboard,2023-02-22
J00408,Arjun,Desktop,Camera,2023-09-14
J00409,Aditi,Smartwatch,Keyboard,2024-05-09
J00410,Saanvi,Laptop,Camera,2023-11-07
J00411,Neha,Tablet,Software,2023-03-02
J00412,Sam,Desktop,Motherboard,2024-01-19
J00413,Aditya,Desktop,Battery,2025-05-01
J00414,Ayush,Smartwatch,Motherboard,2023-09-10
J00415,Maya,Smartwatch,Motherboard,2025-04-27
J00416,Neha,Laptop,Screen,2023-10-13
J00417,Kushvendra,Smartwatch,Battery,2024-07-23
J00418,Riya,Laptop,Battery,2023-09-20
J00419,Arjun,Mobile,Keyboard,2023-03-23
J00420,Vivaan,Mobile,Software,2025-06-15
J00421,Neha,Desktop,Battery,2025-05-12
J00422,Sneha,Tablet,Charging_Port,2023-02-03
J00423,Aditya,Smartwatch,Camera,2025-07-15
J00424,Maya,Laptop,Keyboard,2023-11-03
J00425,Pranav,Tablet,Camera,2025-04-06
J00426,Aditya,Tablet,Keyboard,2023-02-25
J00427,Maya,Mobile,Battery,2024-05-17
J00428,Manthan,Laptop,Motherboard,2024-09-14
J00429,Ayush,Tablet,Motherboard,2024-09-21
J00430,Arjun,Smartwatch,Camera,2023-04-18
J00431,Aditya,Desktop,Motherboard,2024-05-19
J00432,Sneha,Mobile,Motherboard,2024-03-22
J00433,Vivaan,Desktop,Charging_Port,2024-12-31
J00434,Ayush,Desktop,Software,2024-11-16
J00435,Manthan,Desktop,Camera,2023-11-20
J00436,Riya,Smartwatch,Software,2025-06-17
J00437,Ayush,Tablet,Camera,2023-07-09
J00438,Pranav,Desktop,Screen,2023-02-23
J00439,Saanvi,Desktop,Keyboard,2023-01-06
J00440,Riya,Tablet,Keyboard,2023-05-11
J00441,Saanvi,Tablet,Camera,2024-08-13
J00442,Kavya,Desktop,Motherboard,2025-09-12
J00443,Arjun,Mobile,Charging_Port,2024-04-13
J00444,Sam,Laptop,Keyboard,2025-08-18
J00445,Ananya,Mobile,Screen,2024-06-01
J00446,Manthan,Tablet,Motherboard,2023-06-21
J00447,Manthan,Smartwatch,Keyboard,2024-02-10
J00448,Arjun,Tablet,Screen,2023-08-23
J00449,Kavya,Desktop,Motherboard,2025-12-13
J00450,Varun,Smartwatch,Charging_Port,2024-10-10
J00451,Saanvi,Laptop,Battery,2023-01-17
J00452,Pranav,Laptop,Charging_Port,2024-10-21
J00453,Pranav,Mobile,Motherboard,2025-10-11
J00454,Neha,Smartwatch,Screen,2025-11-18
J00455,Saanvi,Laptop,Software,2025-12-18
J00456,Manthan,Desktop,Screen,2023-05-03
J00457,Aditya,Desktop,Motherboard,2024-05-13
J00458,Vivaan,Tablet,Battery,2023-06-22
J00459,Kushvendra,Laptop,Screen,2024-05-27
J00460,Ananya,Smartwatch,Motherboard,2025-12-31
J00461,Neha,Mobile,Software,2023-08-01
J00462,Aarav,Smartwatch,Camera,2023-06-08
J00463,Aditi,Smartwatch,Screen,2023-04-03
J00464,Maya,Smartwatch,Software,2025-12-10
J00465,Kushvendra,Smartwatch,Keyboard,2023-09-21
J00466,Kushvendra,Smartwatch,Camera,2023-04-19
J00467,Neha,Desktop,Software,2023-01-05
J00468,Arjun,Smartwatch,Camera,2024-02-10
J00469,Ananya,Laptop,Keyboard,2024-06-23
J00470,Riya,Mobile,Screen,2025-04-07
J00471,Ishaan,Laptop,Battery,2024-02-04
J00472,Ishaan,Mobile,Charging_Port,2025-06-03
J00473,Kushvendra,Tablet,Software,2023-02-08
J00474,Kushvendra,Mobile,Battery,2024-08-13
J00475,Aditya,Laptop,Keyboard,2023-11-11
J00476,Aarav,Smartwatch,Motherboard,2025-09-10
J00477,Ishaan,Laptop,Keyboard,2023-06-04
J00478,Kavya,Tablet,Software,2023-10-18
J00479,Aarav,Laptop,Camera,2025-04-02
J00480,Neha,Mobile,Battery,2025-11-29
J00481,Arjun,Mobile,Battery,2023-10-07
J00482,Kavya,Laptop,Screen,2024-10-16
J00483,Ananya,Desktop,Battery,2024-01-13
J00484,Riya,Laptop,Keyboard,2025-02-12
J00485,Arjun,Laptop,Screen,2023-04-05
J00486,Vivaan,Laptop,Camera,2024-03-01
J00487,Kavya,Desktop,Keyboard,2024-03-04
J00488,Ananya,Desktop,Screen,2024-01-30
J00489,Ananya,Mobile,Keyboard,2024-01-07
J00490,Varun,Smartwatch,Screen,2024-03-15
J00491,Riya,Mobile,Software,2024-06-04
J00492,Kushvendra,Smartwatch,Software,2024-08-03
J00493,Kushvendra,Mobile,Battery,2024-09-15
J00494,Riya,Desktop,Motherboard,2024-09-03
J00495,Pranav,Desktop,Motherboard,2025-05-26
J00496,Aarav,Mobile,Keyboard,2025-11-14
J00497,Neha,Smartwatch,Battery,2024-07-02
J00498,Riya,Laptop,Software,2024-12-31
J00499,Ananya,Smartwatch,Camera,2025-07-18
J00500,Sneha,Mobile,Keyboard,2025-01-08
J00501,Riya,Desktop,Motherboard,2024-04-20
J00502,Manthan,Smartwatch,Camera,2023-07-08
J00503,Kushvendra,Mobile,Motherboard,2025-04-07
J00504,Manthan,Tablet,Charging_Port,2023-05-16
J00505,Kavya,Smartwatch,Camera,2025-03-09
J00506,Riya,Tablet,Camera,2024-05-19
J00507,Varun,Laptop,Charging_Port,2025-05-03
J00508,Neha,Tablet,Screen,2024-06-29
J00509,Sneha,Tablet,Battery,2024-05-25
J00510,Ayush,Desktop,Software,2025-01-29
J00511,Riya,Tablet,Motherboard,2024-07-08
J00512,Ayush,Smartwatch,Software,2024-10-12
J00513,Ananya,Tablet,Battery,2025-04-15
J00514,Arjun,Desktop,Charging_Port,2024-11-25
J00515,Ananya,Mobile,Keyboard,2024-02-19
J00516,Ayush,Smartwatch,Charging_Port,2023-11-05
J00517,Pranav,Laptop,Keyboard,2025-08-30
J00518,Vivaan,Mobile,Software,2025-07-26
J00519,Neha,Mobile,Software,2024-04-04
J00520,Kushvendra,Tablet,Battery,2024-08-09
J00521,Neha,Desktop,Keyboard,2025-10-21
J00522,Neha,Mobile,Software,2023-02-23
J00523,Neha,Laptop,Motherboard,2023-10-29
J00524,Pranav,Desktop,Motherboard,2024-04-29
J00525,Maya,Desktop,Camera,2023-06-08
J00526,Neha,Laptop,Keyboard,2024-04-04
J00527,Varun,Laptop,Screen,2025-03-17
J00528,Varun,Mobile,Software,2025-08-03
J00529,Vivaan,Laptop,Battery,2023-02-17
J00530,Sneha,Mobile,Motherboard,2023-09-25
